Date,Topic,Slides,"Example Code",Reading,Assignment
Aug 25,"Course intro, lexical analysis",lectures/lecture01-public.pdf,,
Aug 27,"Context-free grammars, parse trees, ambiguity, recursive descent parsing",lectures/lecture02-public.pdf,,EaC 3.1–3.2,
Sep 1,"*Labor day, no classes*",
Sep 3,"Limitations of recursive descent, precedence climbing",lectures/lecture03-public.pdf,,EaC 3.3,,
Sep 8,"ASTs, interpreters",lectures/lecture04-public.pdf,,
Sep 10,"Interpreter runtime structures",lectures/lecture05-public.pdf,,,"[A1](assign/assign01.html) due<br>Fri 9/12"
Sep 15,"Interpreter runtime structures 2",lectures/lecture06-public.pdf,,"[Gosling, Java Intermediate Bytecodes](https://dl.acm.org/doi/pdf/10.1145/202529.202541)",
Sep 17,"Lexical analyzer generators, lex/flex",lectures/lecture07-public.pdf,,"EaC 2.1–2.5, F&amp;B Chapters 1–2",
Sep 22,"LL(1) parsing",lectures/lecture08-public.pdf,,"EaC 3.3","[A2](assign/assign02.html) MS1 due"
Sep 24,"Parser generators, yacc/bison",lectures/lecture09-public.pdf,calc.zip,"F&amp;B Chapter 3",
Sep 29,"Bottom-up parsing, Exam 1 review",lectures/lecture10-public.pdf,,"EaC 3.4"
Oct 1,"**Exam 1**",,,,"[A2](assign/assign02.html) MS2 due<br>Fri 10/3"
Oct 6,"<span class='tentative'>C syntax and semantics</span>",,,
Oct 8,"<span class='tentative'>AST visitors, ad-hoc semantic analysis<span class='tentative'>",,,,
Oct 13,"<span class='tentative'>Intermediate representations<span class='tentative'>",,,"EaC 5.1–5.5"
Oct 15,"<span class='tentative'>Code generation for expressions<span class='tentative'>",,,"EaC 7.1–7.4",
Oct 16–17,*WSE Fall break (no classes)*,
Oct 20,"<span class='tentative'>x86-64 assembly language, low-level codegen<span class='tentative'>",,,,
Oct 22,"<span class='tentative'>Conditions, decisions, and loops<span class='tentative'>",,,"EaC 7.8","<!--[A3](assign/assign03.html) due-->"
Oct 27,"<span class='tentative'>Pointers, arrays, structs, function calls<span class='tentative'>",,,"EaC 7.5–7.7, 7.9",,
Oct 29,"<span class='tentative'>Exam 2 review, codegen work day</span>",,,"","<!--[A4](assign/assign04.html) MS1 due<br>Fri 11/1-->"
Nov 3,"<span class='tentative'>Exam 2</span>",,,
Nov 5,"<span class='tentative'>Intro to code optimization, local value numbering, copy propagation</span>",,,"EaC 8.1–8.5"
Nov 10,"<span class='tentative'>Global optimization/liveness analysis</span>",,,"EaC 8.6"
Nov 12,"<span class='tentative'>Local register allocation</span>",,,"EaC 13.1–13.3","<!--[A4](assign/assign04.html) MS2 due<br>Fri 11/15-->"
Nov 17,"<span class='tentative'>Peephole optimization</span>",,,"EaC 11.5"
Nov 19,"<span class='tentative'>Dataflow analysis</span>",,,"EaC 9.1–9.2, <a href='lectures/kildall-popl73.pdf'>Kildall-POPL73</a>",
Nov 24–28,*Fall recess (no classes)*,
Dec 1,"<span class='tentative'>Static single assignment (SSA) form</span>",,,
Dec 3,"<span class='tentative'>Exam 3 review, work day",,,,"<!--<span class='tentative'>A5 due<br>Fri 12/6</span>-->"
Dec 19,"<span class='tentative'>Exam *, 6pm, location TBD",
